"","Species","pop","sample.id","coords.x1","coords.x2","cells","NORM_6190_AHM","NORM_6190_bFFP","NORM_6190_CMD","NORM_6190_CMI","NORM_6190_cmiJJA","NORM_6190_DD.0","NORM_6190_DD.5","NORM_6190_eFFP","NORM_6190_EMT","NORM_6190_Eref","NORM_6190_FFP","NORM_6190_MAP","NORM_6190_MAT","NORM_6190_MCMT","NORM_6190_MSP","NORM_6190_MWMT","NORM_6190_NFFD","NORM_6190_PAS","NORM_6190_PPT_sm","NORM_6190_PPT_wt","NORM_6190_SHM","NORM_6190_Tave_sm","NORM_6190_Tave_wt","NORM_6190_TD","NORM_6190_Tmax07","NORM_6190_Tmin01","clim.pc1","clim.pc2"
"170","inlandTOWA","Kitimat","maddie_plate2_RF14M05",-2046838.599,7704919.967,9981866,46,161,4,249,10,752,800,261,-346,428,100,2786,28,-67,595,120,159,1374,286,1050,202,110,-55,187,171,-98,1737.49709515466,-56.5313735264322
"171","coastalTOWA","Stewart","maddie_plate2_RF18M03",-2002740.586,7919879.524,9106860,48,180,1,170,15,1408,426,238,-419,316,58,1914,-8,-106,580,92,104,1267,303,604,159,82,-96,198,147,-138,1395.18707842537,1143.6616084943
"172","coastalTOWA","Stewart","maddie_plate2_RF18M05",-2002633.716,7920619.323,9102790,45,181,0,177,17,1454,407,236,-423,310,55,1967,-10,-108,597,90,102,1322,312,617,151,80,-98,198,143,-141,1468.08140768602,1150.54707768974
"173","inlandTOWA","Tatla Lake","maddie_plate2_RF22M01",-1954767.974,7317503.453,11557048,234,178,364,9,-18,1041,840,236,-426,552,58,513,20,-90,139,122,115,270,82,194,880,113,-78,212,200,-144,-586.486868910549,1451.03175483488
"174","coastalTOWA","Hagensborg","maddie_plate2_RF23M01",-2030852.794,7453581.931,11003452,41,179,12,235,8,1079,532,238,-395,402,59,2630,7,-83,573,97,106,1665,268,982,169,88,-75,180,159,-120,1888.61269675139,397.69103168911
"175","coastalTOWA","Hagensborg","maddie_plate2_RF23M03",-2027892.036,7453506.394,11003455,29,190,1,251,14,1596,267,220,-439,340,30,2703,-21,-107,585,72,63,2075,275,1009,123,62,-102,179,134,-146,2275.37377237784,813.818637649048
"176","coastalTOWA","Bella Coola","maddie_plate2_RF24M01",-2036299.156,7453474.025,11003446,36,184,10,242,10,1292,464,232,-420,401,48,2697,-3,-97,593,93,90,1860,277,1006,157,83,-89,190,157,-138,2059.22485339551,525.363673805356
"177","coastalTOWA","Bella Coola","maddie_plate2_RF24M02",-2036343.43,7453692.732,11003446,36,184,10,242,10,1292,464,232,-420,401,48,2697,-3,-97,593,93,90,1860,277,1006,157,83,-89,190,157,-138,2059.22485339551,525.363673805356
"178","coastalTOWA","Bella Coola","maddie_plate2_RF24M03",-2036572.966,7453913.663,11003446,36,184,10,242,10,1292,464,232,-420,401,48,2697,-3,-97,593,93,90,1860,277,1006,157,83,-89,190,157,-138,2059.22485339551,525.363673805356
"179","inlandTOWA","Tatla Lake","maddie_plate2_RF25M01",-1954415.622,7317294.577,11557048,234,178,364,9,-18,1041,840,236,-426,552,58,513,20,-90,139,122,115,270,82,194,880,113,-78,212,200,-144,-586.486868910549,1451.03175483488
"180","inlandTOWA","Tatla Lake","maddie_plate2_RF25M02",-1955409.016,7318059.639,11552977,275,169,398,1,-20,874,1005,243,-407,577,74,480,32,-79,130,133,133,225,77,182,1023,124,-67,212,211,-132,-800.591959574595,1270.36964705277
"181","inlandTOWA","Kelly Lake","maddie_plate2_RF27M02",-1790893.452,7187193.937,12086312,465,155,456,-24,-22,799,1368,255,-378,663,100,314,46,-79,154,161,161,98,98,83,1044,151,-64,240,241,-121,-1139.26956435364,1169.70959586055
